"SkillID","SkillGroup","SkillSubGroup","Skill"
"1","Management, Governance & Strategy","Data Strategy & Roadmap Development",
"10","Management, Governance & Strategy","Tool selection",
"20","Management, Governance & Strategy","Project Management",
"30","Management, Governance & Strategy","Interim & Team (People) Management",
"40","Management, Governance & Strategy","Data Governance",
"101","General Skills","Business Requirements Gathering",
"111","General Skills","Functional Analysis",
"121","General Skills","End-user Training",
"131","General Skills","Technical Solution Design (Data Architecture)",
"141","General Skills","Predictive / Advanced Analytics",
"151","General Skills","Machine Learning",
"161","General Skills","Artificial Intelligence",
"171","General Skills","ESG Data Collection & Reporting",
"1101","Tech Skills","Datamanagement & Datastorage","MS SQL Server"
"1111","Tech Skills","Datamanagement & Datastorage","Azure SQL Server"
"1121","Tech Skills","Datamanagement & Datastorage","Oracle"
"1131","Tech Skills","Datamanagement & Datastorage","Informatica"
"1141","Tech Skills","Datamanagement & Datastorage","PostgreSQL"
"1151","Tech Skills","Datamanagement & Datastorage","MySQL"
"1161","Tech Skills","Datamanagement & Datastorage","ElasticSearch"
"1171","Tech Skills","Datamanagement & Datastorage","Teradata"
"1181","Tech Skills","Datamanagement & Datastorage","Azure Blob Storage"
"1191","Tech Skills","Datamanagement & Datastorage","Spark"
"1201","Tech Skills","Datamanagement & Datastorage","IBM DataStage"
"1211","Tech Skills","Datamanagement & Datastorage","Azure Data Factory"
"1221","Tech Skills","Datamanagement & Datastorage","Talend"
"1231","Tech Skills","Datamanagement & Datastorage","Databricks"
"1241","Tech Skills","Datamanagement & Datastorage","MongoDB"
"1251","Tech Skills","Datamanagement & Datastorage","Amazon S3"
"1261","Tech Skills","Datamanagement & Datastorage","Amazon Glue"
"1271","Tech Skills","Datamanagement & Datastorage","Amazon Athena"
"1281","Tech Skills","Datamanagement & Datastorage","DBT"
"1291","Tech Skills","Datamanagement & Datastorage","DataVault"
"1301","Tech Skills","Datamanagement & Datastorage","Kimball"
"1311","Tech Skills","Datamanagement & Datastorage","Snowflake"
"1321","Tech Skills","Datamanagement & Datastorage","Delta Lake"
"1331","Tech Skills","Datamanagement & Datastorage","Redis"
"2101","Tech Skills","User Tools","MS PowerBI"
"2111","Tech Skills","User Tools","MS PowerApps"
"2121","Tech Skills","User Tools","IBM Cognos"
"2131","Tech Skills","User Tools","Tableau"
"2141","Tech Skills","User Tools","Qlik"
"2151","Tech Skills","User Tools","IBM Planning Analytics"
"2161","Tech Skills","User Tools","Board"
"2171","Tech Skills","User Tools","Anaplan"
"2181","Tech Skills","User Tools","Pigment"
"2191","Tech Skills","User Tools","Onestream"
"2201","Tech Skills","User Tools","Jedox"
"2211","Tech Skills","User Tools","Workday"
"2221","Tech Skills","User Tools","Azure OpenAI"
"2231","Tech Skills","User Tools","MS Purview"
"2241","Tech Skills","User Tools","IBM Databand"
"2251","Tech Skills","User Tools","Collibra"
"2261","Tech Skills","User Tools","Dscribe"
"2271","Tech Skills","User Tools","Git"
"3111","Tech Skills","Platforms & Infra","Azure Machine Learning"
"3121","Tech Skills","Platforms & Infra","Grafana"
"3131","Tech Skills","Platforms & Infra","Azure Fabric"
"3141","Tech Skills","Platforms & Infra","Kubernetes"
"3151","Tech Skills","Platforms & Infra","Docker"
"3161","Tech Skills","Platforms & Infra","Azure Kubernetes Service"
"3171","Tech Skills","Platforms & Infra","Amazon Sagemaker"
"3181","Tech Skills","Platforms & Infra","Azure Functions"
"3191","Tech Skills","Platforms & Infra","Airflow"
"3201","Tech Skills","Platforms & Infra","Dagster"
"3211","Tech Skills","Platforms & Infra","Prefect"
"3221","Tech Skills","Platforms & Infra","Azure"
"3231","Tech Skills","Platforms & Infra","Google Cloud"
"3241","Tech Skills","Platforms & Infra","AWS"
"3251","Tech Skills","Platforms & Infra","Digital Ocean"
"4101","Tech Skills","Languages & Frameworks","SQL"
"4111","Tech Skills","Languages & Frameworks","Python"
"4121","Tech Skills","Languages & Frameworks","Julia"
"4131","Tech Skills","Languages & Frameworks","JavaScript"
"4141","Tech Skills","Languages & Frameworks","NodeJS"
"4151","Tech Skills","Languages & Frameworks","PySpark"
"4161","Tech Skills","Languages & Frameworks","VBScript"
"4171","Tech Skills","Languages & Frameworks","R"
"4181","Tech Skills","Languages & Frameworks","Scala"
"4191","Tech Skills","Languages & Frameworks","GraphQL"
"4201","Tech Skills","Languages & Frameworks","OpenAPI"
"4211","Tech Skills","Languages & Frameworks","FastAPI"
"4221","Tech Skills","Languages & Frameworks","Keras"
"4231","Tech Skills","Languages & Frameworks","MLFlow"
"4241","Tech Skills","Languages & Frameworks","sklearn"
"4251","Tech Skills","Languages & Frameworks","Tensorflow"
"4261","Tech Skills","Languages & Frameworks","Pytorch"
"4271","Tech Skills","Languages & Frameworks","Go"
"4281","Tech Skills","Languages & Frameworks","ML Ops"
"4291","Tech Skills","Languages & Frameworks","Poetry"
"4301","Tech Skills","Languages & Frameworks","Jenkins"
"4311","Tech Skills","Languages & Frameworks","CI/CD"
"4321","Tech Skills","Languages & Frameworks","Kafka"
"4331","Tech Skills","Languages & Frameworks","Prophet"
"4341","Tech Skills","Languages & Frameworks","Bicep"
"4351","Tech Skills","Languages & Frameworks","Terraform"
